ID State,State,ID Year,Year,Population,Slug State
04000US01,Alabama,2019,2019,4903185,alabama
04000US02,Alaska,2019,2019,731545,alaska
04000US04,Arizona,2019,2019,7278717,arizona
04000US05,Arkansas,2019,2019,3017804,arkansas
04000US06,California,2019,2019,39512223,california
04000US08,Colorado,2019,2019,5758736,colorado
04000US09,Connecticut,2019,2019,3565287,connecticut
04000US10,Delaware,2019,2019,973764,delaware
04000US11,District of Columbia,2019,2019,705749,district-of-columbia
04000US12,Florida,2019,2019,21477737,florida
04000US13,Georgia,2019,2019,10617423,georgia
04000US15,Hawaii,2019,2019,1415872,hawaii
04000US16,Idaho,2019,2019,1787065,idaho
04000US17,Illinois,2019,2019,12671821,illinois
04000US18,Indiana,2019,2019,6732219,indiana
04000US19,Iowa,2019,2019,3155070,iowa
04000US20,Kansas,2019,2019,2913314,kansas
04000US21,Kentucky,2019,2019,4467673,kentucky
04000US22,Louisiana,2019,2019,4648794,louisiana
04000US23,Maine,2019,2019,1344212,maine
04000US24,Maryland,2019,2019,6045680,maryland
04000US25,Massachusetts,2019,2019,6892503,massachusetts
04000US26,Michigan,2019,2019,9986857,michigan
04000US27,Minnesota,2019,2019,5639632,minnesota
04000US28,Mississippi,2019,2019,2976149,mississippi
04000US29,Missouri,2019,2019,6137428,missouri
04000US30,Montana,2019,2019,1068778,montana
04000US31,Nebraska,2019,2019,1934408,nebraska
04000US32,Nevada,2019,2019,3080156,nevada
04000US33,New Hampshire,2019,2019,1359711,new-hampshire
04000US34,New Jersey,2019,2019,8882190,new-jersey
04000US35,New Mexico,2019,2019,2096829,new-mexico
04000US36,New York,2019,2019,19453561,new-york
04000US37,North Carolina,2019,2019,10488084,north-carolina
04000US38,North Dakota,2019,2019,762062,north-dakota
04000US39,Ohio,2019,2019,11689100,ohio
04000US40,Oklahoma,2019,2019,3956971,oklahoma
04000US41,Oregon,2019,2019,4217737,oregon
04000US42,Pennsylvania,2019,2019,12801989,pennsylvania
04000US44,Rhode Island,2019,2019,1059361,rhode-island
04000US45,South Carolina,2019,2019,5148714,south-carolina
04000US46,South Dakota,2019,2019,884659,south-dakota
04000US47,Tennessee,2019,2019,6829174,tennessee
04000US48,Texas,2019,2019,28995881,texas
04000US49,Utah,2019,2019,3205958,utah
